"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:0rQbTBbKnxeDYkftXx2V7N","Сам собі країна","spotify:artist:5RqIkHQnXRZlm1ozfSS1IO","Скрябін","spotify:album:0tucqgEOnJ0x17HYSsYHrf","The Best","spotify:artist:5RqIkHQnXRZlm1ozfSS1IO","Скрябін","2015","https://i.scdn.co/image/ab67616d0000b2731b6c28d4ea06d9241bd59cb9","1","21","189934","https://p.scdn.co/mp3-preview/bbab0a922c5b1ef66f56defffed19a1f045bfc49?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","RUA1D2224088","spotify:user:31eggmwgwd6b5f4672kiiveoehya","2023-03-19T20:00:15Z"
"spotify:track:6vqxGc0hh4Wv78Oo684W2e","Місця щасливих людей","spotify:artist:5RqIkHQnXRZlm1ozfSS1IO","Скрябін","spotify:album:0tucqgEOnJ0x17HYSsYHrf","The Best","spotify:artist:5RqIkHQnXRZlm1ozfSS1IO","Скрябін","2015","https://i.scdn.co/image/ab67616d0000b2731b6c28d4ea06d9241bd59cb9","1","25","329306","","false","0","RUA1D2224092","spotify:user:31eggmwgwd6b5f4672kiiveoehya","2023-03-19T20:30:01Z"
"spotify:track:6l5DQztK9JLrAVOsY00yxy","Хороший хлопець","spotify:artist:4IGHF22vbC33ColRBUHIXd","Tember Blanche","spotify:album:5ULZo2O45PLs8SC4vyeDWX","Хороший хлопець","spotify:artist:4IGHF22vbC33ColRBUHIXd","Tember Blanche","2023-03-17","https://i.scdn.co/image/ab67616d0000b273fb23f07736ca58e64dd8461e","1","1","168394","https://p.scdn.co/mp3-preview/2c5c6b468777f4727e3b0030c977846c82ed9ad5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","17","PL44J2358682","spotify:user:31eggmwgwd6b5f4672kiiveoehya","2023-03-24T20:58:24Z"
"spotify:track:25ePUFM8OPQvaxZRTzeLMd","Мам","spotify:artist:5RqIkHQnXRZlm1ozfSS1IO","Скрябін","spotify:album:18VkJP0Efrcf8k6qNwMcS1","Радіо Любов (Deluxe Version)","spotify:artist:5RqIkHQnXRZlm1ozfSS1IO","Скрябін","2012-04-16","https://i.scdn.co/image/ab67616d0000b27348c0aca0074394102cd4a315","1","5","288280","","false","0","RUA1D2246872","spotify:user:31eggmwgwd6b5f4672kiiveoehya","2023-03-25T19:48:30Z"
"spotify:track:72sLzJltiRiZxLDDwgWZ7f","Рубці","spotify:artist:3MtohoQqvZFtmRTwzp0xSH","dity inzheneriv","spotify:album:5EiVqgehTGdU7e4JglYbhz","Рубці","spotify:artist:3MtohoQqvZFtmRTwzp0xSH","dity inzheneriv","2022-02-25","https://i.scdn.co/image/ab67616d0000b27345829656ec01a1a53cf4c03a","1","1","193853","https://p.scdn.co/mp3-preview/69930654cffe5d07e86c6da7ebc442a1ee5913ba?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","SE5BU2257555","spotify:user:31eggmwgwd6b5f4672kiiveoehya","2023-03-26T20:15:15Z"
"spotify:track:0VivKB54YuMK64LTmB1WGf","Навушники","spotify:artist:3MtohoQqvZFtmRTwzp0xSH","dity inzheneriv","spotify:album:2x9Sn68xnBOon23FcOv3Kn","Навушники","spotify:artist:3MtohoQqvZFtmRTwzp0xSH","dity inzheneriv","2022-03-11","https://i.scdn.co/image/ab67616d0000b2735984ee69cf842dab8b0c251e","1","1","186122","https://p.scdn.co/mp3-preview/f4aefcb82cf6fedf9826550fe04d45299095c2b2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","SE5752201214","spotify:user:31eggmwgwd6b5f4672kiiveoehya","2023-03-28T12:34:41Z"
"spotify:track:5HekRIhrFMVP0J4PH6Isw2","Вихід є!","spotify:artist:5qsoQ5KuMdFKIo8rvUroCU","FliT","spotify:album:5SrolxVWACfOW9mvGEtWa1","Вихід є!","spotify:artist:5qsoQ5KuMdFKIo8rvUroCU","FliT","2013-05-01","https://i.scdn.co/image/ab67616d0000b273d34f8904eca082eb8341094f","1","1","189080","https://p.scdn.co/mp3-preview/6b8a04b8219087e59c4044f2275d1fa5d1a70f7d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","QZES61918883","spotify:user:31eggmwgwd6b5f4672kiiveoehya","2023-03-28T21:12:29Z"
"spotify:track:7fJty8A3TMvj3h7qBlpGpm","Спаплюжений","spotify:artist:5qsoQ5KuMdFKIo8rvUroCU","FliT","spotify:album:6LfkI4NKIno2XK60XhTudW","Світ такий","spotify:artist:5qsoQ5KuMdFKIo8rvUroCU","FliT","2003-12-10","https://i.scdn.co/image/ab67616d0000b27318e8e363d1ed8b57cd142544","1","7","192365","https://p.scdn.co/mp3-preview/0977c8ce69a6c85747a5a4a4478ab7e33dfffde3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","QZDA61991485","spotify:user:31eggmwgwd6b5f4672kiiveoehya","2023-03-28T21:27:04Z"
"spotify:track:5grohwSCKaYj35Ea8LjpUT","Восьмий колір","spotify:artist:0Y7o1ue5AkKssSk9d9ZJzv","Motor'Rolla","spotify:album:37PZHdXC803DPfXRD00u2q","…шо кому не ясно?","spotify:artist:0Y7o1ue5AkKssSk9d9ZJzv","Motor'Rolla","2005-05-18","https://i.scdn.co/image/ab67616d0000b2730c97c788fbf87d32447a11c4","1","13","260346","https://p.scdn.co/mp3-preview/72d5d27fd42d55fe869e7a8df5adcea92056b973?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","UABG11400030","spotify:user:31eggmwgwd6b5f4672kiiveoehya","2023-03-28T21:45:13Z"
"spotify:track:1si926bdaxxekpYqSoTTfr","Хвилина мовчання","spotify:artist:5bprYsTLa9fbJByKTIu5OM","Сметана band","spotify:album:4VVxQqPwwQCem2IBxAw3fX","Хвилина мовчання","spotify:artist:5bprYsTLa9fbJByKTIu5OM","Сметана band","2022-10-28","https://i.scdn.co/image/ab67616d0000b27393c059f6cd4897cb31bf19dc","1","1","242610","https://p.scdn.co/mp3-preview/a45542441fbcc953682b983de57ba40008ec4107?cid=9950ac751e34487dbbe027c4fd7f8e99","false","14","DGA052205300","spotify:user:31eggmwgwd6b5f4672kiiveoehya","2023-03-29T19:01:29Z"
